¿Objetivo de la farmacocinética?	Explicar cómo se absorben, distribuyen, metabolizan y excretan los medicamentos para llegar a las concentraciones donde los fármacos son eficientes. 	MoléculasBioactivas Farmacocinética 
¿Cuáles características de un fármaco pueden predecir su biodisponibilidad y movimiento?	Tamaño, estructura molecular, grado de ionización, solubilidad relativa, unión con proteínas séricas y tisulares. 	MoléculasBioactivas Farmacocinética 
¿Qué es la absorción de un fármaco?	El desplazamiento del fármaco desde su lugar de administración hacia el compartimento central o un líquido biológico desde donde tenga acceso a su sitio de acción. 	MoléculasBioactivas Farmacocinética 
¿Qué es la adsorción de un fármaco?	La fijación de un fármaco a un lugar definido. 	MoléculasBioactivas Farmacocinética 
¿De que factores depende la absorción de un fármaco?	Área de absorción, cantidad de flujo sanguíneo que recibe la zona, estado físico del fármaco, hidrosolubilidad, concentración del fármaco en su lugar de absorción. 	MoléculasBioactivas Farmacocinética 
¿Lugar del cuerpo donde se absorben mejor los ácidos débiles?	Estómago	MoléculasBioactivas Farmacocinética 
¿Lugar del cuerpo donde se absorben mejor las bases débiles?	Intestino delgado	MoléculasBioactivas Farmacocinética 
¿Cuál es el área donde se da la mejor absorción de sustancias?	Intestino delgado (cantidad de superficie absortivas). 	MoléculasBioactivas Farmacocinética 
¿Cómo es la liposolubilidad de la forma ionizada de un fármaco?	Poco liposoluble	MoléculasBioactivas Farmacocinética 
¿Como es la hidrosolubilidad de la forma ionizada de un fármaco?	Muy hidrosoluble	MoléculasBioactivas Farmacocinética 
¿Que implica que un fármaco sea poco liposoluble?	Que le es dificil atravesar las membranas celulares. 	MoléculasBioactivas Farmacocinética 
¿Factores de los cuales depende el paso de un fármaco al interior de una célula?	Magnitud del gradiente de concentración, coeficiente de reparto de lípidos, superficie de membrana expuesta. 	MoléculasBioactivas Farmacocinética 
¿Por cuál mecanismo pasan la mayoría de los fármacos liposolubles?	Difusión simple.	MoléculasBioactivas Farmacocinética 
¿Cuáles son los principales grupos ionizables?	Ácidos carboxílicos, aminas 1°, 2°, 3° (4° siempre positivas)	MoléculasBioactivas Farmacocinética 
¿De cuál lado de la membrana lipídica de una célula se acumulan la mayoría de los fármacos ácidos?	Del lado más alcalino	MoléculasBioactivas Farmacocinética 
¿Qué dice la Ley de Fick? La velocidad de difusión a través de una membrana es directamente proporcional a la gradiente de concentración de la sustancia a ambos lados de esta e inversamente proporcional al grosor		MoléculasBioactivas Farmacocinética 
¿Qué es el fenómeno de trampa iónica?	Proceso en el cuál un fármaco ácido se acumulará en el lado más alcalino de una membrana y un fármaco en el lado más ácido. 	MoléculasBioactivas Farmacocinética 
¿Qué es la biodisponibilidad?	Grado fraccional en que una dosis administrada del fármaco alcanza su sitio de accion, o un líquido donde tenga acceso a este. 	MoléculasBioactivas Farmacocinética 
¿Cuál es la fórmula para obtener la biodisponibilidad?	F = (cantidades del fármaco que llega a la circulación)/(cantidad del fármaco administrado). 	MoléculasBioactivas Farmacocinética 
¿Qué es el efecto del primer paso?	Es cuando la capacidad metabólica o excretora de un órgano reduce su biodisponibilidad	MoléculasBioactivas Farmacocinética 
¿Tipo de fármacos diseñados para pasar por el efecto de primer paso antes de ser efectivos?	Profármacos. 	MoléculasBioactivas Farmacocinética 
¿Vías que no tienen efecto de primer paso?	Intravenosa, intratecal, en SNC, testículos. 	MoléculasBioactivas Farmacocinética 
